idx,charterer,ship,type,fleet,loaded,delivered,bl,year,month,load_port,disch_port,region,distance,src
02-2011 ALA,Cotunav,Alatau,Alatau-Aframax,Own fleet,59853.752,,2012-01-03,2012,1,La Skhirra,Bizerta,Med-Med,Short,2026-08-12
01-2012 ALT,Acontium,Altai,Altai-Aframax,Own fleet,79986.0,,2012-01-05,2012,1,Novorossiysk,Burgas,Black-Black,Short,2026-08-12
01-2012 ALA,Cotunav,Alatau,Alatau-Aframax,Own fleet,74445.486,,2012-01-18,2012,1,La Skhirra,Bizerta,Med-Med,Short,2026-08-12
02-2012 ALT,Vector Energy AG,Altai,Altai-Aframax,Own fleet,79908.0,,2012-01-12,2012,1,Novorossiysk,Midia,Black-Black,Short,2026-08-12
03-2012 ALT,Acontium,Altai,Altai-Aframax,Own fleet,79716.0,,2012-01-20,2012,1,Novorossiysk,Burgas,Black-Black,Short,2026-08-12
04-2012 ALT,Acontium,Altai,Altai-Aframax,Own fleet,79928.0,,2012-01-30,2012,1,Novorossiysk,Midia,Black-Black,Short,2026-08-12
02-2012 ALA,SAMIR,Alatau,Alatau-Aframax,Own fleet,100746.335,,2012-02-15,2012,2,Sidi Kerir,Mohammedia,Med-East Africa,Long,2026-08-12
06-2012 ALT,Acontium,Altai,Altai-Aframax,Own fleet,81104.0,,2012-02-26,2012,2,Novorossiysk,Burgas,Black-Black,Short,2026-08-12
05-2012 ALT,Acontium,Altai,Altai-Aframax,Own fleet,79927.0,,2012-02-13,2012,2,Novorossiysk,Burgas,Black-Black,Short,2026-08-12
03-2012 ALA,Morgan Stanley,Alatau,Alatau-Aframax,Own fleet,83782.288,,2012-03-02,2012,3,Arzew,Coryton,Med-UK,Long,2026-08-12
07-2012 ALT,Acontium,Altai,Altai-Aframax,Own fleet,79952.0,,2012-03-03,2012,3,Novorossiysk,Burgas,Black-Black,Short,2026-08-12
08-2012 ALT,Acontium,Altai,Altai-Aframax,Own fleet,80037.0,,2012-03-10,2012,3,Novorossiysk,Burgas,Black-Black,Short,2026-08-12
09-2012 ALT,Acontium,Altai,Altai-Aframax,Own fleet,80500.0,,2012-03-16,2012,3,Novorossiysk,Burgas,Black-Black,Short,2026-08-12
10-2012 ALT,Vector Energy AG,Altai,Altai-Aframax,Own fleet,79159.0,,2012-03-22,2012,3,Novorossiysk,Midia,Black-Black,Short,2026-08-12
04-2012 ALA,Clearlake Shipping Pte Ltd,Alatau,Alatau-Aframax,Own fleet,99879.547,,2012-03-14,2012,3,Southwold,Santa Panagia,UK-Med,Long,2026-08-12
11-2012 ALT-1,Acontium,Altai,Altai-Aframax,Own fleet,33465.766,,2012-03-31,2012,3,Sevastopol,Tarragona,Black-Med,Middle,2026-08-12
11-2012 ALT-2,Acontium,Altai,Altai-Aframax,Own fleet,48699.687,,2012-04-03,2012,4,Kerch,Cartagena,Black-Med,Middle,2026-08-12
11-2012 ALT-3,Acontium,Altai,Altai-Aframax,Own fleet,29717.798,,2012-04-05,2012,4,Kerch,Cartagena,Black-Med,Middle,2026-08-12
05-2012 ALA,Acontium,Alatau,Alatau-Aframax,Own fleet,79949.0,,2012-04-09,2012,4,Novorossiysk,Burgas,Black-Black,Short,2026-08-12
06-2012 ALA,Acontium,Alatau,Alatau-Aframax,Own fleet,79801.0,,2012-04-16,2012,4,Novorossiysk,Burgas,Black-Black,Short,2026-08-12
12-2012 ALT,Petraco Oil Company Ltd,Altai,Altai-Aframax,Own fleet,80125.9,,2012-04-27,2012,4,Bouri,Lavera,Med-Med,Short,2026-08-12
07-2012 ALA,Acontium,Alatau,Alatau-Aframax,Own fleet,90978.0,,2012-04-25,2012,4,Novorossiysk,Augusta,Black-Med,Middle,2026-08-12
13-2012 ALT,SARAS SPA,Altai,Altai-Aframax,Own fleet,82571.091,,2012-05-07,2012,5,Farwah,Sarroch,Middle East-Med,Long,2026-08-12
08-2012 ALA,Vector Energy AG,Alatau,Alatau-Aframax,Own fleet,79885.0,,2012-05-10,2012,5,Novorossiysk,Midia,Black-Black,Short,2026-08-12
09-2012 ALA,Acontium,Alatau,Alatau-Aframax,Own fleet,83206.0,,2012-05-20,2012,5,Novorossiysk,Burgas,Black-Black,Short,2026-08-12
10-2012 ALA,Acontium,Alatau,Alatau-Aframax,Own fleet,79991.0,,2012-06-02,2012,6,Novorossiysk,Burgas,Black-Black,Short,2026-08-12
14-2012 ALT,Chevron Tankers Ltd,Altai,Altai-Aframax,Own fleet,93425.0,,2012-05-21,2012,5,Novorossiysk,Augusta,Black-Med,Middle,2026-08-12
15-2012 ALT,SOCAR,Altai,Altai-Aframax,Own fleet,63991.868,,2012-06-04,2012,6,Ceyhan,Bizerta,Med-Med,Short,2026-08-12
11-2012 ALA,Acontium,Alatau,Alatau-Aframax,Own fleet,80176.0,,2012-06-13,2012,6,Novorossiysk,Burgas,Black-Black,Short,2026-08-12
16-2012 ALT,Vector Energy AG,Altai,Altai-Aframax,Own fleet,93490.0,,2012-06-29,2012,6,Novorossiysk,Le Havre,Black-Continent,Long,2026-08-12
12-2012 ALA,Vitol SA,Alatau,Alatau-Aframax,Own fleet,93493.0,,2012-06-22,2012,6,Novorossiysk,FOS,Black-Med,Middle,2026-08-12
13-2012 ALA,Vector Energy AG,Alatau,Alatau-Aframax,Own fleet,93485.0,,2012-07-25,2012,7,Novorossiysk,FOS,Black-Med,Middle,2026-08-12
17-2012 ALT,Vitol SA,Altai,Altai-Aframax,Own fleet,77622.363,,2012-07-29,2012,7,Zawia,FOS,Med-Med,Short,2026-08-12
14-2012 ALA,Transway,Alatau,Alatau-Aframax,Own fleet,80026.0,,2012-08-15,2012,8,Novorossiysk,Burgas,Black-Black,Short,2026-08-12
18-2012 ALT,Vector Energy AG,Altai,Altai-Aframax,Own fleet,93490.0,,2012-08-16,2012,8,Novorossiysk,Midia,Black-Black,Short,2026-08-12
15-2012 ALA,Vector Energy AG,Alatau,Alatau-Aframax,Own fleet,93494.0,,2012-08-25,2012,8,Novorossiysk,Trieste,Black-Med,Middle,2026-08-12
19-2012 ALT,Vector Energy AG,Altai,Altai-Aframax,Own fleet,93482.0,,2012-08-28,2012,8,Novorossiysk,FOS,Black-Med,Middle,2026-08-12
16-2012 ALA,Vector Energy AG,Alatau,Alatau-Aframax,Own fleet,84981.0,,2012-09-16,2012,9,Novorossiysk,FOS,Black-Med,Middle,2026-08-12
20-2012 ALT,Africa Marine Company A.M.C.,Altai,Altai-Aframax,Own fleet,64890.4,,2012-09-10,2012,9,La Skhirra,Bizerta,Med-Med,Short,2026-08-12
21-2012 ALT,Vector Energy AG,Altai,Altai-Aframax,Own fleet,93476.0,,2012-09-23,2012,9,Novorossiysk,Trieste,Black-Med,Middle,2026-08-12
17-2012 ALA,Vector Energy AG,Alatau,Alatau-Aframax,Own fleet,79775.0,,2012-10-04,2012,10,Novorossiysk,Midia,Black-Black,Short,2026-08-12
18-2012 ALA,Vector Energy AG,Alatau,Alatau-Aframax,Own fleet,80052.0,,2012-10-13,2012,10,Novorossiysk,Midia,Black-Black,Short,2026-08-12
22-2012 ALT,Vector Energy AG,Altai,Altai-Aframax,Own fleet,84981.0,,2012-10-16,2012,10,Novorossiysk,FOS,Black-Med,Middle,2026-08-12
19-2012 ALA,Vector Energy AG,Alatau,Alatau-Aframax,Own fleet,84981.0,,2012-10-26,2012,10,Novorossiysk,FOS,Black-Med,Middle,2026-08-12
23-2012 ALT,Vector Energy AG,Altai,Altai-Aframax,Own fleet,80008.0,,2012-11-09,2012,11,Novorossiysk,Burgas,Black-Black,Short,2026-08-12
20-2012 ALA,Vector Energy AG,Alatau,Alatau-Aframax,Own fleet,93485.0,,2012-11-21,2012,11,Novorossiysk,Taranto,Black-Med,Middle,2026-08-12
24-2012 ALT,Vector Energy AG,Altai,Altai-Aframax,Own fleet,93480.0,,2012-11-18,2012,11,Novorossiysk,FOS,Black-Med,Middle,2026-08-12
25-2012 ALT,Kuwait Petroleum Corporation,Altai,Altai-Aframax,Own fleet,66270.8,,2012-12-06,2012,12,Ras Lanuf,Milazzo,Med-Med,Short,2026-08-12
21-2012 ALA,Vector Energy AG,Alatau,Alatau-Aframax,Own fleet,89480.0,,2012-12-31,2012,12,Novorossiysk,Ashkelon,Black-Med,Middle,2026-08-12
26-2012 ALT,Solal Shipping S.A.,Altai,Altai-Aframax,Own fleet,84684.0,,2012-12-22,2012,12,Novorossiysk,Constanta,Black-Black,Short,2026-08-12
27-2012 ALT,Solal Shipping S.A.,Altai,Altai-Aframax,Own fleet,80287.0,,2012-12-28,2012,12,Novorossiysk,Burgas,Black-Black,Short,2026-08-12
01-2013 ALT,Vector Energy AG,Altai,Altai-Aframax,Own fleet,84811.0,,2013-01-05,2013,1,Novorossiysk,Midia,Black-Black,Short,2026-08-12
02-2013 ALT,Vector Energy AG,Altai,Altai-Aframax,Own fleet,85262.0,,2013-01-15,2013,1,Novorossiysk,Trieste,Black-Med,Middle,2026-08-12
01-2013 ALA,Vector Energy AG,Alatau,Alatau-Aframax,Own fleet,83774.0,,2013-01-27,2013,1,Novorossiysk,Burgas,Black-Black,Short,2026-08-12
03-2013 ALT,Chartering and Shipping Services S.A. (CSS SA),Altai,Altai-Aframax,Own fleet,80778.8,,2013-02-04,2013,2,Mellitah,FOS,Med-Med,Short,2026-08-12
02-2013 ALA,Vector Energy AG,Alatau,Alatau-Aframax,Own fleet,85802.0,,2013-02-02,2013,2,Novorossiysk,Midia,Black-Black,Short,2026-08-12
04-2013 ALT,SARAS SPA,Altai,Altai-Aframax,Own fleet,85635.7,,2013-02-14,2013,2,Bouri,Sarroch,Med-Med,Short,2026-08-12
03-2013 ALA,Vector Energy AG,Alatau,Alatau-Aframax,Own fleet,84928.0,,2013-02-14,2013,2,Novorossiysk,Midia,Black-Black,Short,2026-08-12
04-2013 ALA,Vector Energy AG,Alatau,Alatau-Aframax,Own fleet,84936.0,,2013-02-23,2013,2,Novorossiysk,Le Havre,Black-Continent,Long,2026-08-12
05-2013 ALT,Solal Shipping S.A.,Altai,Altai-Aframax,Own fleet,87722.229,,2013-03-05,2013,3,Sevastopol,Tarragona,Black-Med,Middle,2026-08-12
05-2013 ALA,Philliphs 66 Limited,Alatau,Alatau-Aframax,Own fleet,83710.27,,2013-03-26,2013,3,Es Sider,Trieste,Med-Med,Short,2026-08-12
06-2013 ALT,Unipec Asia Company Ltd,Altai,Altai-Aframax,Own fleet,80098.2,,2013-04-13,2013,4,Es Sider,Trieste,Med-Med,Short,2026-08-12
06-2013 ALA,ENI Trading and Shipping SpA,Alatau,Alatau-Aframax,Own fleet,84976.0,,2013-04-15,2013,4,Novorossiysk,Trieste,Black-Med,Middle,2026-08-12
07-2013 ALA,Vector Energy AG,Alatau,Alatau-Aframax,Own fleet,80140.0,,2013-05-11,2013,5,Novorossiysk,Burgas,Black-Black,Short,2026-08-12
07-2013 ALT,Vitol SA,Altai,Altai-Aframax,Own fleet,80073.061,,2013-05-17,2013,5,Ceyhan,Augusta,Med-Med,Short,2026-08-12
08-2013 ALA,Vector Energy AG,Alatau,Alatau-Aframax,Own fleet,79942.0,,2013-05-19,2013,5,Novorossiysk,Midia,Black-Black,Short,2026-08-12
09-2013 ALA,Vector Energy AG,Alatau,Alatau-Aframax,Own fleet,79990.0,,2013-05-29,2013,5,Novorossiysk,Taranto,Black-Med,Middle,2026-08-12
08-2013 ALT,Vector Energy AG,Altai,Altai-Aframax,Own fleet,79872.0,,2013-06-05,2013,6,Novorossiysk,Midia,Black-Black,Short,2026-08-12
09-2013 ALT,Vector Energy AG,Altai,Altai-Aframax,Own fleet,79865.0,,2013-06-13,2013,6,Novorossiysk,Burgas,Black-Black,Short,2026-08-12
10-2013 ALA,Vector Energy AG,Alatau,Alatau-Aframax,Own fleet,84994.0,,2013-06-14,2013,6,Novorossiysk,Trieste,Black-Med,Middle,2026-08-12
